account_id,signup_date,plan_tier,seats,industry,country,referral_source,is_trial,target_churn,tenure_days,current_plan_tier,current_seats,current_mrr,current_arr,billing_frequency,num_upgrades_180d,num_downgrades_180d,num_plan_changes_180d,sub_tenure_days,total_usage_30d,avg_daily_usage_30d,total_errors_30d,unique_features_30d,total_usage_90d,avg_daily_usage_90d,total_errors_90d,unique_features_90d,avg_feature_duration_sec_overall,num_tickets_90d,avg_resolution_days_90d,avg_satisfaction_90d,num_escalations_90d,overall_avg_resolution_days,overall_avg_satisfaction,pct_high_priority_tickets_overall
A-2e4581,2024-10-16,Basic,9,EdTech,US,partner,False,1,-15,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,42.0,10.5,3.0,4.0,111.0,10.090909090909092,9.0,10.0,283.38775510204084,0.0,0.0,0.0,0.0,1.125,3.0,1.0
A-43a9e3,2023-08-17,Basic,18,FinTech,IN,other,False,0,411,Pro,18.0,882.0,10584.0,monthly,0.0,0.0,0.0,85,38.0,12.666666666666666,0.0,3.0,82.0,11.714285714285714,4.0,7.0,306.38709677419354,0.0,0.0,0.0,0.0,1.5833333333333333,4.0,0.6666666666666666
A-0a282f,2024-08-27,Basic,1,DevTools,US,organic,False,1,35,Enterprise,6.0,1194.0,14328.0,annual,0.0,0.0,1.0,3,16.0,5.333333333333333,0.0,3.0,99.0,9.0,5.0,11.0,314.2083333333333,0.0,0.0,0.0,0.0,2.354166666666667,5.0,0.5
A-1f0ac7,2023-08-27,Basic,24,HealthTech,UK,other,True,1,401,Pro,24.0,0.0,0.0,monthly,1.0,0.0,2.0,82,29.0,7.25,3.0,3.0,57.0,7.125,7.0,7.0,274.75,0.0,0.0,0.0,0.0,1.2083333333333333,0.0,0.5
A-ce550d,2024-10-27,Enterprise,35,HealthTech,US,event,False,1,-26,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,0.0,0.0,0.0,0.0,67.0,9.571428571428571,2.0,6.0,370.3478260869565,0.0,0.0,0.0,0.0,1.576388888888889,3.5,0.6666666666666666
A-1b9609,2023-10-12,Enterprise,4,EdTech,IN,ads,False,1,355,Basic,17.0,323.0,3876.0,annual,0.0,0.0,4.0,28,0.0,0.0,0.0,0.0,71.0,7.888888888888889,6.0,8.0,308.4047619047619,0.0,0.0,0.0,0.0,1.486111111111111,3.0,0.6666666666666666
A-a0ca4e,2024-03-08,Pro,11,Cybersecurity,US,ads,False,0,207,Pro,49.0,2401.0,28812.0,annual,0.0,0.0,4.0,6,16.0,8.0,2.0,2.0,53.0,7.571428571428571,5.0,7.0,315.1818181818182,0.0,0.0,0.0,0.0,1.45,3.8,0.2
A-e5d6ab,2023-04-15,Pro,3,EdTech,US,partner,False,0,535,Basic,39.0,741.0,8892.0,monthly,0.0,0.0,2.0,71,7.0,7.0,0.0,1.0,31.0,10.333333333333334,3.0,3.0,289.19354838709677,1.0,2.25,0.0,0.0,1.777777777777778,0.0,0.6666666666666666
A-7dacce,2024-09-10,Enterprise,12,Cybersecurity,CA,event,False,1,21,Enterprise,13.0,2587.0,31044.0,annual,0.0,0.0,2.0,13,21.0,10.5,4.0,2.0,52.0,10.4,7.0,5.0,308.3414634146341,0.0,0.0,0.0,0.0,1.3541666666666665,3.6666666666666665,1.0
A-10b8da,2023-05-08,Enterprise,14,DevTools,US,partner,False,0,512,Pro,34.0,1666.0,19992.0,monthly,0.0,0.0,3.0,17,14.0,14.0,0.0,1.0,14.0,14.0,0.0,1.0,280.23809523809524,0.0,0.0,0.0,0.0,1.3055555555555556,3.5,0.6666666666666666
A-592832,2024-09-25,Basic,18,Cybersecurity,US,organic,False,1,6,Basic,35.0,665.0,7980.0,annual,0.0,0.0,3.0,1,80.0,11.428571428571429,5.0,7.0,130.0,10.833333333333334,14.0,10.0,304.85869565217394,0.0,0.0,0.0,0.0,1.1875,5.0,0.5
